"REF_DATE","GEO","DGUID","Gender","Age group","Transmission","Hospitalization","Death","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Total, by transmission","Total, by hospitalization status","Total, by death status","Number","223","units","0","v1160929340","1.1.1.1.1.1","514285","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Total, by transmission","Total, by hospitalization status","Yes, deceased","Number","223","units","0","v1160929341","1.1.1.1.1.2","14956","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Total, by transmission","Total, by hospitalization status","No, not deceased","Number","223","units","0","v1160929342","1.1.1.1.1.3","379563","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Total, by transmission","Total, by hospitalization status","Not stated, deceased","Number","223","units","0","v1160929343","1.1.1.1.1.4","119766","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Total, by transmission","Yes, hospitalized and ICU admitted","Total, by death status","Number","223","units","0","v1160929344","1.1.1.1.2.1","5793","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Total, by transmission","Yes, hospitalized and ICU admitted","Yes, deceased","Number","223","units","0","v1160929345","1.1.1.1.2.2","1585","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Total, by transmission","Yes, hospitalized and ICU admitted","No, not deceased","Number","223","units","0","v1160929346","1.1.1.1.2.3","3092","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Total, by transmission","Yes, hospitalized and ICU admitted","Not stated, deceased","Number","223","units","0","v1160929347","1.1.1.1.2.4","1116","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Total, by transmission","Yes, hospitalized but not ICU admitted","Total, by death status","Number","223","units","0","v1160929348","1.1.1.1.3.1","25671","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Total, by transmission","Yes, hospitalized but not ICU admitted","Yes, deceased","Number","223","units","0","v1160929349","1.1.1.1.3.2","4686","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Total, by transmission","Yes, hospitalized but not ICU admitted","No, not deceased","Number","223","units","0","v1160929350","1.1.1.1.3.3","15953","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Total, by transmission","Yes, hospitalized but not ICU admitted","Not stated, deceased","Number","223","units","0","v1160929351","1.1.1.1.3.4","5032","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Total, by transmission","Not hospitalized","Total, by death status","Number","223","units","0","v1160929352","1.1.1.1.4.1","344042","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Total, by transmission","Not hospitalized","Yes, deceased","Number","223","units","0","v1160929353","1.1.1.1.4.2","7380","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Total, by transmission","Not hospitalized","No, not deceased","Number","223","units","0","v1160929354","1.1.1.1.4.3","297935","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Total, by transmission","Not hospitalized","Not stated, deceased","Number","223","units","0","v1160929355","1.1.1.1.4.4","38727","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Total, by transmission","Not stated, hospitalized","Total, by death status","Number","223","units","0","v1160929356","1.1.1.1.5.1","138779","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Total, by transmission","Not stated, hospitalized","Yes, deceased","Number","223","units","0","v1160929357","1.1.1.1.5.2","1305","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Total, by transmission","Not stated, hospitalized","No, not deceased","Number","223","units","0","v1160929358","1.1.1.1.5.3","62583","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Total, by transmission","Not stated, hospitalized","Not stated, deceased","Number","223","units","0","v1160929359","1.1.1.1.5.4","74891","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Community exposures","Total, by hospitalization status","Total, by death status","Number","223","units","0","v1160929360","1.1.1.2.1.1","355675","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Community exposures","Total, by hospitalization status","Yes, deceased","Number","223","units","0","v1160929361","1.1.1.2.1.2","12335","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Community exposures","Total, by hospitalization status","No, not deceased","Number","223","units","0","v1160929362","1.1.1.2.1.3","251562","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Community exposures","Total, by hospitalization status","Not stated, deceased","Number","223","units","0","v1160929363","1.1.1.2.1.4","91778","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Community exposures","Yes, hospitalized and ICU admitted","Total, by death status","Number","223","units","0","v1160929364","1.1.1.2.2.1","4508","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Community exposures","Yes, hospitalized and ICU admitted","Yes, deceased","Number","223","units","0","v1160929365","1.1.1.2.2.2","1266","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Community exposures","Yes, hospitalized and ICU admitted","No, not deceased","Number","223","units","0","v1160929366","1.1.1.2.2.3","2421","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Community exposures","Yes, hospitalized and ICU admitted","Not stated, deceased","Number","223","units","0","v1160929367","1.1.1.2.2.4","821","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Community exposures","Yes, hospitalized but not ICU admitted","Total, by death status","Number","223","units","0","v1160929368","1.1.1.2.3.1","19082","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Community exposures","Yes, hospitalized but not ICU admitted","Yes, deceased","Number","223","units","0","v1160929369","1.1.1.2.3.2","3730","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Community exposures","Yes, hospitalized but not ICU admitted","No, not deceased","Number","223","units","0","v1160929370","1.1.1.2.3.3","11743","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Community exposures","Yes, hospitalized but not ICU admitted","Not stated, deceased","Number","223","units","0","v1160929371","1.1.1.2.3.4","3609","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Community exposures","Not hospitalized","Total, by death status","Number","223","units","0","v1160929372","1.1.1.2.4.1","199584","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Community exposures","Not hospitalized","Yes, deceased","Number","223","units","0","v1160929373","1.1.1.2.4.2","6066","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Community exposures","Not hospitalized","No, not deceased","Number","223","units","0","v1160929374","1.1.1.2.4.3","175840","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Community exposures","Not hospitalized","Not stated, deceased","Number","223","units","0","v1160929375","1.1.1.2.4.4","17678","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Community exposures","Not stated, hospitalized","Total, by death status","Number","223","units","0","v1160929376","1.1.1.2.5.1","132501","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Community exposures","Not stated, hospitalized","Yes, deceased","Number","223","units","0","v1160929377","1.1.1.2.5.2","1273","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Community exposures","Not stated, hospitalized","No, not deceased","Number","223","units","0","v1160929378","1.1.1.2.5.3","61558","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Community exposures","Not stated, hospitalized","Not stated, deceased","Number","223","units","0","v1160929379","1.1.1.2.5.4","69670","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Travel exposures","Total, by hospitalization status","Total, by death status","Number","223","units","0","v1160929380","1.1.1.3.1.1","5251","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Travel exposures","Total, by hospitalization status","Yes, deceased","Number","223","units","0","v1160929381","1.1.1.3.1.2","115","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Travel exposures","Total, by hospitalization status","No, not deceased","Number","223","units","0","v1160929382","1.1.1.3.1.3","4892","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Travel exposures","Total, by hospitalization status","Not stated, deceased","Number","223","units","0","v1160929383","1.1.1.3.1.4","244","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Travel exposures","Yes, hospitalized and ICU admitted","Total, by death status","Number","223","units","0","v1160929384","1.1.1.3.2.1","193","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Travel exposures","Yes, hospitalized and ICU admitted","Yes, deceased","Number","223","units","0","v1160929385","1.1.1.3.2.2","51","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Travel exposures","Yes, hospitalized and ICU admitted","No, not deceased","Number","223","units","0","v1160929386","1.1.1.3.2.3","138","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Travel exposures","Yes, hospitalized and ICU admitted","Not stated, deceased","Number","223","units","0","v1160929387","1.1.1.3.2.4","4","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Travel exposures","Yes, hospitalized but not ICU admitted","Total, by death status","Number","223","units","0","v1160929388","1.1.1.3.3.1","400","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Travel exposures","Yes, hospitalized but not ICU admitted","Yes, deceased","Number","223","units","0","v1160929389","1.1.1.3.3.2","29","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Travel exposures","Yes, hospitalized but not ICU admitted","No, not deceased","Number","223","units","0","v1160929390","1.1.1.3.3.3","360","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Travel exposures","Yes, hospitalized but not ICU admitted","Not stated, deceased","Number","223","units","0","v1160929391","1.1.1.3.3.4","11","","","","0"
"2021","Canada","2016A000011124","Total, all genders","Total, all age groups","Travel exposures","Not hospitalized","Total, by death status","Number","223","units","0","v1160929392","1.1.1.3.4.1","4380","","","","0"
