date,new,cumulative,shaded
2020-01-15,2,2,14
2020-01-16,5,7,
2020-01-17,3,10,
2020-01-18,1,11,
2020-01-19,0,11,
2020-01-20,1,12,
2020-01-21,4,16,
2020-01-22,5,21,
2020-01-23,0,21,
2020-01-24,3,24,
2020-01-25,4,28,
2020-01-26,2,30,
2020-01-27,8,38,
2020-01-28,6,44,
2020-01-29,3,47,
2020-01-30,4,51,
2020-01-31,3,54,
2020-02-01,7,61,
2020-02-02,3,64,
2020-02-03,2,66,
2020-02-04,2,68,
2020-02-05,5,73,
2020-02-06,0,73,
2020-02-07,0,73,
2020-02-08,2,75,
2020-02-09,2,77,
2020-02-10,2,79,
2020-02-11,2,81,
2020-02-12,4,85,
2020-02-13,1,86,
2020-02-14,6,92,
2020-02-15,3,95,
2020-02-16,1,96,
2020-02-17,2,98,
2020-02-18,2,100,
2020-02-19,4,104,
2020-02-20,11,115,
2020-02-21,3,118,
2020-02-22,8,126,
2020-02-23,23,149,
2020-02-24,15,164,
2020-02-25,16,180,
2020-02-26,15,195,
2020-02-27,27,222,
2020-02-28,39,261,
2020-02-29,28,289,
2020-03-01,60,349,
2020-03-02,56,405,
2020-03-03,55,460,
2020-03-04,62,522,
2020-03-05,67,589,
2020-03-06,85,674,
2020-03-07,90,764,
2020-03-08,135,899,
2020-03-09,224,1123,
2020-03-10,261,1384,
2020-03-11,301,1685,
2020-03-12,394,2079,
2020-03-13,467,2546,
2020-03-14,471,3017,
2020-03-15,613,3630,
2020-03-16,855,4485,
2020-03-17,882,5367,
2020-03-18,983,6350,
2020-03-19,816,7166,
2020-03-20,1064,8230,
2020-03-21,911,9141,
2020-03-22,874,10015,
2020-03-23,1108,11123,
2020-03-24,1009,12132,
2020-03-25,1022,13154,
2020-03-26,952,14106,
2020-03-27,980,15086,
2020-03-28,978,16064,
2020-03-29,894,16958,
2020-03-30,1188,18146,
2020-03-31,1012,19158,
2020-04-01,1330,20488,
2020-04-02,1201,21689,
2020-04-03,1342,23031,
2020-04-04,1179,24210,
2020-04-05,1082,25292,
2020-04-06,1442,26734,
2020-04-07,1317,28051,
2020-04-08,1408,29459,
2020-04-09,1513,30972,
2020-04-10,1822,32794,
2020-04-11,1711,34505,
2020-04-12,1448,35953,
2020-04-13,2132,38085,
2020-04-14,1835,39920,
2020-04-15,1962,41882,
2020-04-16,1966,43848,
2020-04-17,1866,45714,
2020-04-18,1625,47339,
2020-04-19,1232,48571,
2020-04-20,1846,50417,
2020-04-21,1415,51832,
2020-04-22,1578,53410,
2020-04-23,1588,54998,
2020-04-24,1542,56540,
2020-04-25,1405,57945,
2020-04-26,1321,59266,
2020-04-27,1658,60924,
2020-04-28,1541,62465,
2020-04-29,1482,63947,
2020-04-30,1473,65420,
2020-05-01,1597,67017,
2020-05-02,1076,68093,
2020-05-03,1026,69119,
2020-05-04,1368,70487,
2020-05-05,1304,71791,
2020-05-06,1124,72915,
2020-05-07,1186,74101,
2020-05-08,1183,75284,
2020-05-09,1030,76314,
2020-05-10,929,77243,
2020-05-11,1231,78474,
2020-05-12,1168,79642,
2020-05-13,1104,80746,
2020-05-14,1160,81906,
2020-05-15,1224,83130,
2020-05-16,997,84127,
2020-05-17,917,85044,
2020-05-18,1098,86142,
2020-05-19,962,87104,
2020-05-20,1134,88238,
2020-05-21,887,89125,
2020-05-22,844,89969,
2020-05-23,707,90676,
2020-05-24,649,91325,
2020-05-25,857,92182,
2020-05-26,745,92927,
2020-05-27,721,93648,
2020-05-28,598,94246,
2020-05-29,728,94974,
2020-05-30,567,95541,
2020-05-31,409,95950,
2020-06-01,687,96637,
2020-06-02,504,97141,
2020-06-03,498,97639,
2020-06-04,470,98109,
2020-06-05,454,98563,
2020-06-06,376,98939,
2020-06-07,310,99249,
2020-06-08,437,99686,
2020-06-09,381,100067,
2020-06-10,442,100509,
2020-06-11,373,100882,
2020-06-12,377,101259,
2020-06-13,277,101536,
2020-06-14,306,101842,
2020-06-15,403,102245,
2020-06-16,375,102620,
2020-06-17,362,102982,
2020-06-18,327,103309,
2020-06-19,337,103646,
2020-06-20,288,103934,
2020-06-21,272,104206,
2020-06-22,326,104532,
2020-06-23,334,104866,
2020-06-24,288,105154,
2020-06-25,473,105627,
2020-06-26,282,105909,
2020-06-27,258,106167,
2020-06-28,242,106409,
2020-06-29,334,106743,
2020-06-30,315,107058,
2020-07-01,287,107345,
2020-07-02,270,107615,
2020-07-03,313,107928,
2020-07-04,296,108224,
2020-07-05,282,108506,
2020-07-06,519,109025,
2020-07-07,531,109556,
2020-07-08,448,110004,
2020-07-09,457,110461,
2020-07-10,415,110876,
2020-07-11,386,111262,
2020-07-12,401,111663,
2020-07-13,612,112275,
2020-07-14,552,112827,
2020-07-15,583,113410,
2020-07-16,474,113884,
2020-07-17,515,114399,
2020-07-18,412,114811,
2020-07-19,401,115212,
2020-07-20,537,115749,
2020-07-21,524,116273,
2020-07-22,455,116728,
2020-07-23,461,117189,
2020-07-24,462,117651,
2020-07-25,317,117968,
2020-07-26,343,118311,
2020-07-27,487,118798,
2020-07-28,427,119225,
2020-07-29,415,119640,
2020-07-30,350,119990,
2020-07-31,348,120338,
2020-08-01,347,120685,
2020-08-02,339,121024,
2020-08-03,450,121474,
2020-08-04,455,121929,
2020-08-05,388,122317,
2020-08-06,355,122672,
2020-08-07,392,123064,
2020-08-08,338,123402,
2020-08-09,326,123728,
2020-08-10,487,124215,
2020-08-11,481,124696,
2020-08-12,411,125107,
2020-08-13,431,125538,
2020-08-14,380,125918,
2020-08-15,368,126286,
2020-08-16,386,126672,
2020-08-17,562,127234,
2020-08-18,437,127671,
2020-08-19,467,128138,
2020-08-20,454,128592,
2020-08-21,433,129025,
2020-08-22,403,129428,
2020-08-23,406,129834,
2020-08-24,578,130412,
2020-08-25,619,131031,
2020-08-26,622,131653,
2020-08-27,493,132146,
2020-08-28,568,132714,
2020-08-29,459,133173,
2020-08-30,554,133727,
2020-08-31,661,134388,
2020-09-01,764,135152,
2020-09-02,796,135948,
2020-09-03,674,136622,
2020-09-04,729,137351,
2020-09-05,684,138035,
2020-09-06,700,138735,
2020-09-07,809,139544,
2020-09-08,990,140534,
2020-09-09,1037,141571,
2020-09-10,1021,142592,
2020-09-11,989,143581,
2020-09-12,974,144555,
2020-09-13,980,145535,
2020-09-14,1300,146835,
2020-09-15,1344,148179,
2020-09-16,1370,149549,
2020-09-17,1352,150901,
2020-09-18,1429,152330,
2020-09-19,1270,153600,
2020-09-20,1391,154991,
2020-09-21,1876,156867,
2020-09-22,1886,158753,
