pruid,prname,prnameFR,date,update,numconf,numprob,numdeaths,numtotal,numtested,numtests,numrecover,numtoday,percenttoday,ratetotal,numdeathstoday,percentdeath,ratedeaths,numrecoveredtoday,percentrecover,raterecovered,numteststoday,ratetests,numactive,percentactive,rateactive,numtotal_last7,numtotal_last14,ratetotal_last7,ratetotal_last14,avgtotal_last7,avgincidence_last7,numdeaths_last7,numdeaths_last14,ratedeaths_last7,ratedeaths_last14,avgdeaths_last7,avgratedeaths_last7,numtestedtoday,ratetested
35,Ontario,Ontario,31-01-2020,,3,0,0,3,0,0,0,0,0.00,0.02,0,0.00,0.00,0,0.00,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0,0.00
59,British Columbia,Colombie-Britannique,31-01-2020,,1,0,0,1,0,0,0,0,0.00,0.02,0,0.00,0.00,0,0.00,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0,0.00
1,Canada,Canada,31-01-2020,,4,0,0,4,0,0,0,0,0.00,0.01,0,0.00,0.00,0,0.00,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0,0.00
35,Ontario,Ontario,08-02-2020,,3,0,0,3,0,0,0,0,0.00,0.02,0,0.00,0.00,0,0.00,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0,0.00
59,British Columbia,Colombie-Britannique,08-02-2020,,4,0,0,4,0,63,0,3,75.00,0.08,0,0.00,0.00,0,0.00,0.00,63,12.08,0,0.00,0.00,3,3,0.06,0.00,0.43,0.01,0,0,0.00,0.00,0.00,0.00,0,0.00
1,Canada,Canada,08-02-2020,,7,0,0,7,0,63,0,3,42.86,0.02,0,0.00,0.00,0,0.00,0.00,63,1.65,0,0.00,0.00,3,3,0.01,0.00,0.43,0.00,0,0,0.00,0.00,0.00,0.00,0,0.00
35,Ontario,Ontario,16-02-2020,,3,0,0,3,0,0,0,0,0.00,0.02,0,0.00,0.00,0,0.00,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0,0.00
59,British Columbia,Colombie-Britannique,16-02-2020,,5,0,0,5,0,109,0,1,20.00,0.10,0,0.00,0.00,0,0.00,0.00,46,20.90,0,0.00,0.00,4,4,0.08,0.00,0.57,0.01,0,0,0.00,0.00,0.00,0.00,0,0.00
1,Canada,Canada,16-02-2020,,8,0,0,8,0,109,0,1,12.50,0.02,0,0.00,0.00,0,0.00,0.00,46,2.85,0,0.00,0.00,4,4,0.01,0.00,0.57,0.00,0,0,0.00,0.00,0.00,0.00,0,0.00
35,Ontario,Ontario,21-02-2020,,3,0,0,3,0,0,0,0,0.00,0.02,0,0.00,0.00,0,0.00,0.00,0,0.00,0,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0,0.00
59,British Columbia,Colombie-Britannique,21-02-2020,,6,0,0,6,0,166,0,1,16.67,0.12,0,0.00,0.00,0,0.00,0.00,57,31.83,0,0.00,0.00,5,5,0.10,0.00,0.71,0.01,0,0,0.00,0.00,0.00,0.00,0,0.00
1,Canada,Canada,21-02-2020,,9,0,0,9,0,166,0,1,11.11,0.02,0,0.00,0.00,0,0.00,0.00,57,4.34,0,0.00,0.00,5,5,0.01,0.00,0.71,0.00,0,0,0.00,0.00,0.00,0.00,0,0.00
35,Ontario,Ontario,24-02-2020,,4,0,0,4,0,0,0,1,25.00,0.03,0,0.00,0.00,0,0.00,0.00,0,0.00,0,0.00,0.00,1,1,0.01,0.00,0.14,0.00,0,0,0.00,0.00,0.00,0.00,0,0.00
59,British Columbia,Colombie-Britannique,24-02-2020,,6,0,0,6,0,212,0,0,0.00,0.12,0,0.00,0.00,0,0.00,0.00,46,40.65,0,0.00,0.00,5,5,0.10,0.00,0.71,0.01,0,0,0.00,0.00,0.00,0.00,0,0.00
1,Canada,Canada,24-02-2020,,10,0,0,10,0,212,0,1,10.00,0.03,0,0.00,0.00,0,0.00,0.00,46,5.54,0,0.00,0.00,6,6,0.02,0.00,0.86,0.00,0,0,0.00,0.00,0.00,0.00,0,0.00
35,Ontario,Ontario,25-02-2020,,4,0,0,4,0,0,0,0,0.00,0.03,0,0.00,0.00,0,0.00,0.00,0,0.00,0,0.00,0.00,1,1,0.01,0.00,0.14,0.00,0,0,0.00,0.00,0.00,0.00,0,0.00
59,British Columbia,Colombie-Britannique,25-02-2020,,7,0,0,7,0,230,0,1,14.29,0.13,0,0.00,0.00,0,0.00,0.00,18,44.11,0,0.00,0.00,6,6,0.12,0.00,0.86,0.02,0,0,0.00,0.00,0.00,0.00,0,0.00
1,Canada,Canada,25-02-2020,,11,0,0,11,0,230,0,1,9.09,0.03,0,0.00,0.00,0,0.00,0.00,18,6.01,0,0.00,0.00,7,7,0.02,0.00,1.00,0.00,0,0,0.00,0.00,0.00,0.00,0,0.00
35,Ontario,Ontario,26-02-2020,,5,0,0,5,0,0,0,1,20.00,0.03,0,0.00,0.00,0,0.00,0.00,0,0.00,0,0.00,0.00,2,2,0.01,0.00,0.29,0.00,0,0,0.00,0.00,0.00,0.00,0,0.00
59,British Columbia,Colombie-Britannique,26-02-2020,,7,0,0,7,0,292,0,0,0.00,0.13,0,0.00,0.00,0,0.00,0.00,62,55.99,0,0.00,0.00,6,6,0.12,0.00,0.86,0.02,0,0,0.00,0.00,0.00,0.00,0,0.00
1,Canada,Canada,26-02-2020,,12,0,0,12,0,292,0,1,8.33,0.03,0,0.00,0.00,0,0.00,0.00,62,7.63,0,0.00,0.00,8,8,0.02,0.00,1.14,0.00,0,0,0.00,0.00,0.00,0.00,0,0.00
35,Ontario,Ontario,27-02-2020,,6,0,0,6,0,0,0,1,16.67,0.04,0,0.00,0.00,0,0.00,0.00,0,0.00,0,0.00,0.00,3,3,0.02,0.00,0.43,0.00,0,0,0.00,0.00,0.00,0.00,0,0.00
