Report_Data_Extracted,PHU_Num,PHU,LTC_Home,LTCH_Num,City,Beds,Total_LTC_Resident_Cases,Total_LTC_Resident_Deaths,Total_LTC_HCW_Cases
04/24/2020,2246,Niagara,"Albright Gardens Homes, Incorporated",2983,Beamsville,231,<5,0,<5
04/24/2020,2243,"Leeds,Grenville,Lanark",Almonte Country Haven,2692,Almonte,82,44,25,17
04/24/2020,3895,Toronto,Altamont Care Community,956,Scarborough,159,125,32,45
04/24/2020,2227,Brant,Anson Place Care Centre,2786,Hagersville,61,28,23,33
04/24/2020,2230,Durham,Bay Ridges,2895,Pickering,124,0,0,<5
04/24/2020,3895,Toronto,Belmont House,2985,Toronto,140,0,0,<5
04/24/2020,3895,Toronto,Bendale Acres,M504,Scarborough,302,0,0,<5
04/24/2020,2270,York Region,Bethany Lodge,2986,Markham,128,<5,<5,<5
04/24/2020,2260,Simcoe-Muskoka,Bradford Valley Care Community,2905,Bradford,246,20,7,10
04/24/2020,2253,Peel,Burton Manor,2953,Brampton,128,22,0,8
04/24/2020,2253,Peel,Camilla Care Community,2472,Mississauga,236,114,7,29
04/24/2020,2266,Wellington-Dufferin-Guelph,Caressant Care Fergus Nursing Home,2603,Fergus,87,<5,0,0
04/24/2020,4913,South West,Caressant Care on Bonnie Place,2730,St Thomas,116,0,0,<5
04/24/2020,2251,Ottawa,Carlingview Manor,2420,Ottawa,303,32,<5,5
04/24/2020,3895,Toronto,Castleview Wychwood Towers,M510,Toronto,456,0,0,<5
04/24/2020,3895,Toronto,Cedarvale Terrace,2591,Toronto,218,0,0,<5
04/24/2020,2258,Eastern Ontario,Centre d'Accueil Roger Seguin,2988,Clarence Creek,113,0,0,<5
04/24/2020,2270,York Region,Chartwell Aurora Long Term Care Residence,2630,Aurora,235,25,<5,<5
04/24/2020,2230,Durham,Chartwell Ballycliffe Long Term Care Residence,2658,Ajax,100,53,18,28
04/24/2020,3895,Toronto,Chartwell Gibson Long Term Care Residence,2556,North York,202,30,8,6
04/24/2020,2270,York Region,Chartwell Pine Grove Long Term Care Residence,2808,Woodbridge,96,0,0,<5
04/24/2020,2236,Halton,Chartwell Waterford Long Term Care Residence,2908,Oakville,168,0,0,<5
04/24/2020,3895,Toronto,Chartwell Westbury Long Term Care Residence,2943,Etobicoke,187,48,12,19
04/24/2020,3895,Toronto,Chartwell White Eagle Long Term Care Residence,2583,Toronto,56,8,<5,<5
04/24/2020,2270,York Region,Chartwell Woodhaven Long Term Care Residence,2888,Markham,192,0,0,0
04/24/2020,2253,Peel,Cooksville Care Centre,2124,Mississauga,192,16,0,5
04/24/2020,3895,Toronto,Copernicus Lodge,2937,Toronto,228,0,0,<5
04/24/2020,2268,Windsor-Essex,Country Village Homes - Woodslee,2576,Woodslee,104,28,16,11
04/24/2020,3895,Toronto,Craiglee Nursing Home,2503,Scarborough,169,<5,0,<5
04/24/2020,3895,Toronto,Dom Lipa,2794,Etobicoke,66,<5,0,0
04/24/2020,3895,Toronto,Downsview Long Term Care Centre,1041,North York,252,9,0,0
04/24/2020,2266,Wellington-Dufferin-Guelph,Dufferin Oaks,M516,Shelburne,160,<5,<5,5
04/24/2020,2237,Hamilton,Dundurn Place Care Centre,2739,Hamilton,201,<5,0,0
04/24/2020,2270,York Region,Eagle Terrace,2240,Newmarket,70,<5,<5,0
04/24/2020,2244,Middlesex-London,Earls Court Village,3047,London,128,<5,<5,7
04/24/2020,3895,Toronto,Eatonville Care Centre,2468,Etobicoke,247,143,37,66
04/24/2020,2251,Ottawa,Élisabeth-Bruyère Residence,2759,Ottawa,71,0,0,<5
04/24/2020,3895,Toronto,Elm Grove Living Centre,2515,Toronto,126,29,12,44
04/24/2020,2253,Peel,Erin Mills Lodge Nursing Home,2736,Mississauga,86,<5,<5,6
04/24/2020,3895,Toronto,Extendicare Bayview,2460,North York,205,66,6,13
04/24/2020,2253,Peel,Extendicare Brampton,2847,Brampton,150,<5,0,<5
04/24/2020,3895,Toronto,Extendicare Guildwood,2164,Scarborough,169,<5,0,0
04/24/2020,2251,Ottawa,Extendicare Laurier Manor,2665,Gloucester,242,37,0,16
04/24/2020,3895,Toronto,Extendicare Rouge Valley,2883,Toronto,192,0,0,<5
04/24/2020,3895,Toronto,Extendicare Scarborough,2117,Scarborough,154,0,0,<5
04/24/2020,2251,Ottawa,Extendicare Starwood,2485,Nepean,192,0,0,<5
