"date","phu_name","phu_num","outbreak_group","number_ongoing_outbreaks"
"2020-11-01","BRANT COUNTY",2227,"1 Congregate Care",2
"2020-11-01","BRANT COUNTY",2227,"4 Workplace",1
"2020-11-01","CHATHAM-KENT",2240,"4 Workplace",1
"2020-11-01","CHATHAM-KENT",2240,"5 Recreational",1
"2020-11-01","CHATHAM-KENT",2240,"6 Other/Unknown",1
"2020-11-01","CITY OF HAMILTON",2237,"1 Congregate Care",5
"2020-11-01","CITY OF HAMILTON",2237,"3 Education",1
"2020-11-01","CITY OF HAMILTON",2237,"4 Workplace",2
"2020-11-01","CITY OF HAMILTON",2237,"5 Recreational",1
"2020-11-01","CITY OF HAMILTON",2237,"6 Other/Unknown",1
"2020-11-01","CITY OF OTTAWA",2251,"1 Congregate Care",29
"2020-11-01","CITY OF OTTAWA",2251,"2 Congregate Living",7
"2020-11-01","CITY OF OTTAWA",2251,"3 Education",6
"2020-11-01","CITY OF OTTAWA",2251,"4 Workplace",3
"2020-11-01","CITY OF OTTAWA",2251,"6 Other/Unknown",2
"2020-11-01","DURHAM REGION",2230,"1 Congregate Care",3
"2020-11-01","DURHAM REGION",2230,"2 Congregate Living",1
"2020-11-01","DURHAM REGION",2230,"3 Education",2
"2020-11-01","DURHAM REGION",2230,"4 Workplace",1
"2020-11-01","DURHAM REGION",2230,"6 Other/Unknown",1
"2020-11-01","EASTERN ONTARIO",2258,"1 Congregate Care",4
"2020-11-01","EASTERN ONTARIO",2258,"3 Education",1
"2020-11-01","GREY BRUCE",2233,"1 Congregate Care",1
"2020-11-01","HALDIMAND-NORFOLK",2234,"1 Congregate Care",1
"2020-11-01","HALDIMAND-NORFOLK",2234,"4 Workplace",1
"2020-11-01","HALIBURTON, KAWARTHA, PINE RIDGE",2235,"1 Congregate Care",1
"2020-11-01","HALTON REGION",2236,"1 Congregate Care",5
"2020-11-01","HALTON REGION",2236,"2 Congregate Living",3
"2020-11-01","HALTON REGION",2236,"4 Workplace",1
"2020-11-01","HALTON REGION",2236,"5 Recreational",1
"2020-11-01","HALTON REGION",2236,"6 Other/Unknown",2
"2020-11-01","HASTINGS & PRINCE EDWARD COUNTIES",2238,"4 Workplace",1
"2020-11-01","HURON PERTH",5183,"1 Congregate Care",2
"2020-11-01","HURON PERTH",5183,"4 Workplace",1
"2020-11-01","KINGSTON, FRONTENAC, LENNOX & ADDINGTON",2241,"1 Congregate Care",1
"2020-11-01","KINGSTON, FRONTENAC, LENNOX & ADDINGTON",2241,"3 Education",1
"2020-11-01","LAMBTON COUNTY",2242,"1 Congregate Care",1
"2020-11-01","LAMBTON COUNTY",2242,"4 Workplace",1
"2020-11-01","LEEDS, GRENVILLE AND LANARK DISTRICT",2243,"1 Congregate Care",1
"2020-11-01","LEEDS, GRENVILLE AND LANARK DISTRICT",2243,"4 Workplace",1
"2020-11-01","MIDDLESEX-LONDON",2244,"1 Congregate Care",9
"2020-11-01","MIDDLESEX-LONDON",2244,"3 Education",2
"2020-11-01","MIDDLESEX-LONDON",2244,"4 Workplace",2
"2020-11-01","MIDDLESEX-LONDON",2244,"5 Recreational",1
"2020-11-01","MIDDLESEX-LONDON",2244,"6 Other/Unknown",3
"2020-11-01","NIAGARA REGION",2246,"1 Congregate Care",4
"2020-11-01","NIAGARA REGION",2246,"3 Education",2
"2020-11-01","NIAGARA REGION",2246,"4 Workplace",1
"2020-11-01","NIAGARA REGION",2246,"6 Other/Unknown",1
"2020-11-01","NORTHWESTERN",2249,"1 Congregate Care",1
"2020-11-01","NORTHWESTERN",2249,"3 Education",1
"2020-11-01","PEEL REGION",2253,"1 Congregate Care",9
"2020-11-01","PEEL REGION",2253,"2 Congregate Living",9
"2020-11-01","PEEL REGION",2253,"3 Education",28
"2020-11-01","PEEL REGION",2253,"4 Workplace",67
"2020-11-01","PEEL REGION",2253,"5 Recreational",6
"2020-11-01","PEEL REGION",2253,"6 Other/Unknown",9
"2020-11-01","PORCUPINE",2256,"4 Workplace",1
"2020-11-01","RENFREW COUNTY AND DISTRICT",2257,"1 Congregate Care",5
"2020-11-01","RENFREW COUNTY AND DISTRICT",2257,"4 Workplace",1
"2020-11-01","SIMCOE MUSKOKA DISTRICT",2260,"1 Congregate Care",3
"2020-11-01","SIMCOE MUSKOKA DISTRICT",2260,"2 Congregate Living",1
"2020-11-01","SIMCOE MUSKOKA DISTRICT",2260,"3 Education",2
"2020-11-01","SIMCOE MUSKOKA DISTRICT",2260,"4 Workplace",2
"2020-11-01","SUDBURY AND DISTRICT",2261,"3 Education",1
"2020-11-01","SUDBURY AND DISTRICT",2261,"6 Other/Unknown",1
"2020-11-01","TORONTO",3895,"1 Congregate Care",39
"2020-11-01","TORONTO",3895,"2 Congregate Living",19
"2020-11-01","TORONTO",3895,"3 Education",19
"2020-11-01","TORONTO",3895,"4 Workplace",17
"2020-11-01","TORONTO",3895,"5 Recreational",5
"2020-11-01","TORONTO",3895,"6 Other/Unknown",1
"2020-11-01","WATERLOO REGION",2265,"1 Congregate Care",1
"2020-11-01","WATERLOO REGION",2265,"3 Education",3
"2020-11-01","WATERLOO REGION",2265,"4 Workplace",2
"2020-11-01","WATERLOO REGION",2265,"6 Other/Unknown",1
"2020-11-01","WELLINGTON-DUFFERIN-GUELPH",2266,"1 Congregate Care",1
"2020-11-01","WELLINGTON-DUFFERIN-GUELPH",2266,"2 Congregate Living",1
"2020-11-01","WELLINGTON-DUFFERIN-GUELPH",2266,"3 Education",1
"2020-11-01","WELLINGTON-DUFFERIN-GUELPH",2266,"4 Workplace",3
"2020-11-01","WELLINGTON-DUFFERIN-GUELPH",2266,"5 Recreational",1
"2020-11-01","WINDSOR-ESSEX COUNTY",2268,"1 Congregate Care",6
"2020-11-01","WINDSOR-ESSEX COUNTY",2268,"4 Workplace",3
"2020-11-01","WINDSOR-ESSEX COUNTY",2268,"5 Recreational",1
"2020-11-01","YORK REGION",2270,"1 Congregate Care",11
"2020-11-01","YORK REGION",2270,"2 Congregate Living",5
"2020-11-01","YORK REGION",2270,"3 Education",14
"2020-11-01","YORK REGION",2270,"4 Workplace",23
"2020-11-01","YORK REGION",2270,"5 Recreational",5
"2020-11-01","YORK REGION",2270,"6 Other/Unknown",4
"2020-11-02","BRANT COUNTY",2227,"1 Congregate Care",2
"2020-11-02","BRANT COUNTY",2227,"4 Workplace",1
"2020-11-02","CHATHAM-KENT",2240,"4 Workplace",1
"2020-11-02","CHATHAM-KENT",2240,"5 Recreational",1
"2020-11-02","CHATHAM-KENT",2240,"6 Other/Unknown",1
"2020-11-02","CITY OF HAMILTON",2237,"1 Congregate Care",4
"2020-11-02","CITY OF HAMILTON",2237,"3 Education",1
"2020-11-02","CITY OF HAMILTON",2237,"4 Workplace",2
"2020-11-02","CITY OF HAMILTON",2237,"5 Recreational",1
"2020-11-02","CITY OF HAMILTON",2237,"6 Other/Unknown",1
"2020-11-02","CITY OF OTTAWA",2251,"1 Congregate Care",27
"2020-11-02","CITY OF OTTAWA",2251,"2 Congregate Living",7
"2020-11-02","CITY OF OTTAWA",2251,"3 Education",5
"2020-11-02","CITY OF OTTAWA",2251,"4 Workplace",2
"2020-11-02","CITY OF OTTAWA",2251,"6 Other/Unknown",2
"2020-11-02","DURHAM REGION",2230,"1 Congregate Care",4
"2020-11-02","DURHAM REGION",2230,"2 Congregate Living",1
"2020-11-02","DURHAM REGION",2230,"3 Education",2
"2020-11-02","DURHAM REGION",2230,"4 Workplace",1
"2020-11-02","DURHAM REGION",2230,"6 Other/Unknown",1
"2020-11-02","EASTERN ONTARIO",2258,"1 Congregate Care",4
"2020-11-02","EASTERN ONTARIO",2258,"3 Education",1
"2020-11-02","GREY BRUCE",2233,"1 Congregate Care",1
"2020-11-02","HALDIMAND-NORFOLK",2234,"1 Congregate Care",1
"2020-11-02","HALDIMAND-NORFOLK",2234,"4 Workplace",1
"2020-11-02","HALDIMAND-NORFOLK",2234,"6 Other/Unknown",1
"2020-11-02","HALIBURTON, KAWARTHA, PINE RIDGE",2235,"1 Congregate Care",1
"2020-11-02","HALTON REGION",2236,"1 Congregate Care",5
"2020-11-02","HALTON REGION",2236,"2 Congregate Living",3
"2020-11-02","HALTON REGION",2236,"4 Workplace",1
"2020-11-02","HALTON REGION",2236,"5 Recreational",1
"2020-11-02","HALTON REGION",2236,"6 Other/Unknown",2
"2020-11-02","HASTINGS & PRINCE EDWARD COUNTIES",2238,"4 Workplace",1
"2020-11-02","HURON PERTH",5183,"1 Congregate Care",2
"2020-11-02","HURON PERTH",5183,"4 Workplace",1
"2020-11-02","KINGSTON, FRONTENAC, LENNOX & ADDINGTON",2241,"1 Congregate Care",1
"2020-11-02","KINGSTON, FRONTENAC, LENNOX & ADDINGTON",2241,"3 Education",1
"2020-11-02","LAMBTON COUNTY",2242,"1 Congregate Care",1
"2020-11-02","LAMBTON COUNTY",2242,"4 Workplace",1
"2020-11-02","LEEDS, GRENVILLE AND LANARK DISTRICT",2243,"1 Congregate Care",2
"2020-11-02","LEEDS, GRENVILLE AND LANARK DISTRICT",2243,"4 Workplace",1
"2020-11-02","MIDDLESEX-LONDON",2244,"1 Congregate Care",10
"2020-11-02","MIDDLESEX-LONDON",2244,"3 Education",2
"2020-11-02","MIDDLESEX-LONDON",2244,"4 Workplace",2
"2020-11-02","MIDDLESEX-LONDON",2244,"5 Recreational",1
"2020-11-02","MIDDLESEX-LONDON",2244,"6 Other/Unknown",3
"2020-11-02","NIAGARA REGION",2246,"1 Congregate Care",4
"2020-11-02","NIAGARA REGION",2246,"3 Education",2
"2020-11-02","NIAGARA REGION",2246,"4 Workplace",1
"2020-11-02","NIAGARA REGION",2246,"5 Recreational",1
"2020-11-02","NIAGARA REGION",2246,"6 Other/Unknown",2
"2020-11-02","NORTHWESTERN",2249,"1 Congregate Care",1
"2020-11-02","NORTHWESTERN",2249,"3 Education",1
"2020-11-02","OXFORD ELGIN-ST.THOMAS",4913,"6 Other/Unknown",1
"2020-11-02","PEEL REGION",2253,"1 Congregate Care",10
"2020-11-02","PEEL REGION",2253,"2 Congregate Living",9
"2020-11-02","PEEL REGION",2253,"3 Education",29
"2020-11-02","PEEL REGION",2253,"4 Workplace",68
"2020-11-02","PEEL REGION",2253,"5 Recreational",6
"2020-11-02","PEEL REGION",2253,"6 Other/Unknown",10
"2020-11-02","PETERBOROUGH COUNTY-CITY",2255,"1 Congregate Care",1
"2020-11-02","PORCUPINE",2256,"4 Workplace",1
"2020-11-02","RENFREW COUNTY AND DISTRICT",2257,"1 Congregate Care",5
"2020-11-02","RENFREW COUNTY AND DISTRICT",2257,"4 Workplace",1
"2020-11-02","SIMCOE MUSKOKA DISTRICT",2260,"1 Congregate Care",3
"2020-11-02","SIMCOE MUSKOKA DISTRICT",2260,"2 Congregate Living",1
"2020-11-02","SIMCOE MUSKOKA DISTRICT",2260,"3 Education",2
"2020-11-02","SIMCOE MUSKOKA DISTRICT",2260,"4 Workplace",2
"2020-11-02","SUDBURY AND DISTRICT",2261,"3 Education",1
"2020-11-02","SUDBURY AND DISTRICT",2261,"6 Other/Unknown",1
"2020-11-02","TORONTO",3895,"1 Congregate Care",36
"2020-11-02","TORONTO",3895,"2 Congregate Living",17
"2020-11-02","TORONTO",3895,"3 Education",17
"2020-11-02","TORONTO",3895,"4 Workplace",17
"2020-11-02","TORONTO",3895,"5 Recreational",5
"2020-11-02","TORONTO",3895,"6 Other/Unknown",1
"2020-11-02","WATERLOO REGION",2265,"1 Congregate Care",1
"2020-11-02","WATERLOO REGION",2265,"3 Education",5
"2020-11-02","WATERLOO REGION",2265,"4 Workplace",2
"2020-11-02","WATERLOO REGION",2265,"6 Other/Unknown",1
"2020-11-02","WELLINGTON-DUFFERIN-GUELPH",2266,"1 Congregate Care",1
"2020-11-02","WELLINGTON-DUFFERIN-GUELPH",2266,"2 Congregate Living",1
"2020-11-02","WELLINGTON-DUFFERIN-GUELPH",2266,"3 Education",1
"2020-11-02","WELLINGTON-DUFFERIN-GUELPH",2266,"4 Workplace",3
"2020-11-02","WELLINGTON-DUFFERIN-GUELPH",2266,"5 Recreational",1
"2020-11-02","WINDSOR-ESSEX COUNTY",2268,"1 Congregate Care",6
"2020-11-02","WINDSOR-ESSEX COUNTY",2268,"4 Workplace",3
"2020-11-02","WINDSOR-ESSEX COUNTY",2268,"5 Recreational",1
"2020-11-02","YORK REGION",2270,"1 Congregate Care",11
"2020-11-02","YORK REGION",2270,"2 Congregate Living",5
"2020-11-02","YORK REGION",2270,"3 Education",14
"2020-11-02","YORK REGION",2270,"4 Workplace",21
"2020-11-02","YORK REGION",2270,"5 Recreational",5
"2020-11-02","YORK REGION",2270,"6 Other/Unknown",4
"2020-11-03","BRANT COUNTY",2227,"1 Congregate Care",2
"2020-11-03","BRANT COUNTY",2227,"4 Workplace",1
"2020-11-03","CHATHAM-KENT",2240,"2 Congregate Living",1
"2020-11-03","CHATHAM-KENT",2240,"4 Workplace",1
"2020-11-03","CHATHAM-KENT",2240,"5 Recreational",1
"2020-11-03","CITY OF HAMILTON",2237,"1 Congregate Care",5
"2020-11-03","CITY OF HAMILTON",2237,"3 Education",1
"2020-11-03","CITY OF HAMILTON",2237,"4 Workplace",3
"2020-11-03","CITY OF HAMILTON",2237,"5 Recreational",1
"2020-11-03","CITY OF HAMILTON",2237,"6 Other/Unknown",1
"2020-11-03","CITY OF OTTAWA",2251,"1 Congregate Care",27
"2020-11-03","CITY OF OTTAWA",2251,"2 Congregate Living",7
"2020-11-03","CITY OF OTTAWA",2251,"3 Education",5
"2020-11-03","CITY OF OTTAWA",2251,"4 Workplace",2
"2020-11-03","CITY OF OTTAWA",2251,"6 Other/Unknown",2
"2020-11-03","DURHAM REGION",2230,"1 Congregate Care",4
"2020-11-03","DURHAM REGION",2230,"2 Congregate Living",1
"2020-11-03","DURHAM REGION",2230,"3 Education",2
"2020-11-03","DURHAM REGION",2230,"4 Workplace",1
"2020-11-03","DURHAM REGION",2230,"6 Other/Unknown",1
"2020-11-03","EASTERN ONTARIO",2258,"1 Congregate Care",4
"2020-11-03","EASTERN ONTARIO",2258,"3 Education",4
"2020-11-03","GREY BRUCE",2233,"1 Congregate Care",1
"2020-11-03","HALDIMAND-NORFOLK",2234,"1 Congregate Care",1
"2020-11-03","HALDIMAND-NORFOLK",2234,"4 Workplace",1
"2020-11-03","HALDIMAND-NORFOLK",2234,"6 Other/Unknown",1
"2020-11-03","HALIBURTON, KAWARTHA, PINE RIDGE",2235,"1 Congregate Care",1
