"date","category_grouped","outbreak_subgroup","TOTAL_CASES"
"2020-03-06","2 Congregate Living","SHELTER",1
"2020-03-08","1 Congregate Care","LONG-TERM CARE HOME",1
"2020-03-09","4 Workplace","WORKPLACE - OTHER",1
"2020-03-11","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",1
"2020-03-13","1 Congregate Care","LONG-TERM CARE HOME",1
"2020-03-14","4 Workplace","WORKPLACE - OTHER",1
"2020-03-15","4 Workplace","WORKPLACE - OTHER",1
"2020-03-17","1 Congregate Care","LONG-TERM CARE HOME",2
"2020-03-18","4 Workplace","WORKPLACE - OTHER",2
"2020-03-19","1 Congregate Care","LONG-TERM CARE HOME",5
"2020-03-19","1 Congregate Care","RETIREMENT HOME",1
"2020-03-19","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",1
"2020-03-20","1 Congregate Care","LONG-TERM CARE HOME",13
"2020-03-21","1 Congregate Care","LONG-TERM CARE HOME",9
"2020-03-21","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",1
"2020-03-22","1 Congregate Care","HOSPITAL",1
"2020-03-22","1 Congregate Care","LONG-TERM CARE HOME",10
"2020-03-22","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",1
"2020-03-22","4 Workplace","WORKPLACE - OTHER",2
"2020-03-23","1 Congregate Care","HOSPITAL",5
"2020-03-23","1 Congregate Care","LONG-TERM CARE HOME",11
"2020-03-23","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",1
"2020-03-24","1 Congregate Care","HOSPITAL",5
"2020-03-24","1 Congregate Care","LONG-TERM CARE HOME",15
"2020-03-24","1 Congregate Care","RETIREMENT HOME",1
"2020-03-24","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",1
"2020-03-24","4 Workplace","MEDICAL/HEALTH SERVICE",2
"2020-03-24","4 Workplace","WORKPLACE - OTHER",1
"2020-03-25","1 Congregate Care","LONG-TERM CARE HOME",13
"2020-03-25","1 Congregate Care","RETIREMENT HOME",1
"2020-03-25","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",1
"2020-03-25","4 Workplace","RETAIL",1
"2020-03-25","4 Workplace","WORKPLACE - OTHER",1
"2020-03-26","1 Congregate Care","HOSPITAL",3
"2020-03-26","1 Congregate Care","LONG-TERM CARE HOME",6
"2020-03-26","1 Congregate Care","RETIREMENT HOME",2
"2020-03-26","4 Workplace","WORKPLACE - OTHER",6
"2020-03-27","1 Congregate Care","HOSPITAL",7
"2020-03-27","1 Congregate Care","LONG-TERM CARE HOME",14
"2020-03-27","1 Congregate Care","RETIREMENT HOME",4
"2020-03-27","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",1
"2020-03-27","4 Workplace","MEDICAL/HEALTH SERVICE",1
"2020-03-27","4 Workplace","WORKPLACE - OTHER",3
"2020-03-28","1 Congregate Care","HOSPITAL",7
"2020-03-28","1 Congregate Care","LONG-TERM CARE HOME",17
"2020-03-28","1 Congregate Care","RETIREMENT HOME",6
"2020-03-28","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",2
"2020-03-28","4 Workplace","WORKPLACE - OTHER",2
"2020-03-29","1 Congregate Care","HOSPITAL",13
"2020-03-29","1 Congregate Care","LONG-TERM CARE HOME",19
"2020-03-29","1 Congregate Care","RETIREMENT HOME",3
"2020-03-29","2 Congregate Living","CONGREGATE OTHER",1
"2020-03-29","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",1
"2020-03-29","4 Workplace","WORKPLACE - OTHER",2
"2020-03-30","1 Congregate Care","HOSPITAL",15
"2020-03-30","1 Congregate Care","LONG-TERM CARE HOME",24
"2020-03-30","1 Congregate Care","RETIREMENT HOME",9
"2020-03-30","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",1
"2020-03-30","4 Workplace","RETAIL",2
"2020-03-30","4 Workplace","WORKPLACE - OTHER",1
"2020-03-31","1 Congregate Care","HOSPITAL",19
"2020-03-31","1 Congregate Care","LONG-TERM CARE HOME",33
"2020-03-31","1 Congregate Care","RETIREMENT HOME",10
