DATE,age_category,percent_positive_7d_avg
01May2020,0to13,0.0346
02May2020,0to13,0.0356
03May2020,0to13,0.0365
04May2020,0to13,0.0365
05May2020,0to13,0.0354
06May2020,0to13,0.0326
07May2020,0to13,0.0345
08May2020,0to13,0.0292
09May2020,0to13,0.0264
10May2020,0to13,0.0300
11May2020,0to13,0.0332
12May2020,0to13,0.0340
13May2020,0to13,0.0333
14May2020,0to13,0.0328
15May2020,0to13,0.0318
16May2020,0to13,0.0334
17May2020,0to13,0.0339
18May2020,0to13,0.0329
19May2020,0to13,0.0316
20May2020,0to13,0.0329
21May2020,0to13,0.0340
22May2020,0to13,0.0366
23May2020,0to13,0.0373
24May2020,0to13,0.0366
25May2020,0to13,0.0380
26May2020,0to13,0.0410
27May2020,0to13,0.0369
28May2020,0to13,0.0346
29May2020,0to13,0.0309
30May2020,0to13,0.0301
31May2020,0to13,0.0282
01Jun2020,0to13,0.0249
02Jun2020,0to13,0.0254
03Jun2020,0to13,0.0282
04Jun2020,0to13,0.0287
05Jun2020,0to13,0.0292
06Jun2020,0to13,0.0270
07Jun2020,0to13,0.0277
08Jun2020,0to13,0.0260
09Jun2020,0to13,0.0248
10Jun2020,0to13,0.0240
11Jun2020,0to13,0.0253
12Jun2020,0to13,0.0248
13Jun2020,0to13,0.0248
14Jun2020,0to13,0.0247
15Jun2020,0to13,0.0277
16Jun2020,0to13,0.0251
17Jun2020,0to13,0.0230
18Jun2020,0to13,0.0208
19Jun2020,0to13,0.0214
20Jun2020,0to13,0.0216
21Jun2020,0to13,0.0206
22Jun2020,0to13,0.0183
23Jun2020,0to13,0.0162
24Jun2020,0to13,0.0175
25Jun2020,0to13,0.0178
26Jun2020,0to13,0.0166
27Jun2020,0to13,0.0165
28Jun2020,0to13,0.0146
29Jun2020,0to13,0.0132
30Jun2020,0to13,0.0140
01Jul2020,0to13,0.0123
02Jul2020,0to13,0.0102
03Jul2020,0to13,0.0090
04Jul2020,0to13,0.0097
05Jul2020,0to13,0.0099
06Jul2020,0to13,0.0109
07Jul2020,0to13,0.0103
08Jul2020,0to13,0.0108
09Jul2020,0to13,0.0111
10Jul2020,0to13,0.0125
11Jul2020,0to13,0.0115
12Jul2020,0to13,0.0112
