region,date_start,date_end,Re,lower_CI,upper_CI
Ontario,03/13/2020,03/19/2020,2.98,2.64,3.35
Ontario,03/14/2020,03/20/2020,2.75,2.46,3.05
Ontario,03/15/2020,03/21/2020,2.61,2.37,2.87
Ontario,03/16/2020,03/22/2020,2.42,2.22,2.64
Ontario,03/17/2020,03/23/2020,2.3,2.12,2.48
Ontario,03/18/2020,03/24/2020,2,1.85,2.16
Ontario,03/19/2020,03/25/2020,1.9,1.77,2.04
Ontario,03/20/2020,03/26/2020,1.89,1.77,2.01
Ontario,03/21/2020,03/27/2020,1.81,1.71,1.93
Ontario,03/22/2020,03/28/2020,1.76,1.66,1.86
Ontario,03/23/2020,03/29/2020,1.68,1.59,1.77
Ontario,03/24/2020,03/30/2020,1.54,1.46,1.63
Ontario,03/25/2020,03/31/2020,1.52,1.44,1.6
Ontario,03/26/2020,04/01/2020,1.54,1.47,1.62
Ontario,03/27/2020,04/02/2020,1.51,1.44,1.58
Ontario,03/28/2020,04/03/2020,1.53,1.47,1.6
Ontario,03/29/2020,04/04/2020,1.47,1.41,1.54
Ontario,03/30/2020,04/05/2020,1.45,1.39,1.51
Ontario,03/31/2020,04/06/2020,1.39,1.33,1.44
Ontario,04/01/2020,04/07/2020,1.36,1.31,1.41
Ontario,04/02/2020,04/08/2020,1.35,1.3,1.4
Ontario,04/03/2020,04/09/2020,1.32,1.27,1.36
Ontario,04/04/2020,04/10/2020,1.25,1.2,1.29
Ontario,04/05/2020,04/11/2020,1.21,1.17,1.26
Ontario,04/06/2020,04/12/2020,1.16,1.12,1.2
Ontario,04/07/2020,04/13/2020,1.16,1.12,1.2
Ontario,04/08/2020,04/14/2020,1.17,1.13,1.21
Ontario,04/09/2020,04/15/2020,1.13,1.09,1.17
Ontario,04/10/2020,04/16/2020,1.11,1.08,1.15
Ontario,04/11/2020,04/17/2020,1.14,1.1,1.18
Ontario,04/12/2020,04/18/2020,1.14,1.11,1.18
Ontario,04/13/2020,04/19/2020,1.15,1.11,1.18
Ontario,04/14/2020,04/20/2020,1.18,1.14,1.22
Ontario,04/15/2020,04/21/2020,1.16,1.12,1.19
Ontario,04/16/2020,04/22/2020,1.11,1.08,1.15
