"report_date","previous_day_total_doses_administered","previous_day_at_least_one","previous_day_fully_vaccinated","previous_day_3doses","total_doses_administered","total_individuals_at_least_one","total_individuals_partially_vaccinated","total_doses_in_fully_vaccinated_individuals","total_individuals_fully_vaccinated","total_individuals_3doses"
2021-01-01,6251,6241,2,,32200,32145,32134,22,11,
2021-01-02,4614,4602,6,,36814,36695,36682,26,13,
2021-01-03,5395,5388,3,,42209,42083,42067,32,16,
2021-01-04,5995,5993,0,,48204,48075,48060,30,15,
2021-01-05,9685,9660,20,,57889,57733,57699,68,34,
2021-01-06,12793,12328,450,,70682,70057,69577,960,480,
2021-01-07,16218,15507,697,,86900,85563,84386,2354,1177,
2021-01-08,18037,17022,1002,,104937,102585,100406,4358,2179,
2021-01-09,19500,18423,1064,,124437,121007,117764,6486,3243,
2021-01-10,11372,11332,38,,135809,132330,129050,6560,3280,
2021-01-11,11710,11660,48,,147519,143990,140662,6656,3328,
2021-01-12,14467,14160,298,,161986,158142,154516,7252,3626,
2021-01-13,15436,13813,1593,,177422,171941,166724,10434,5217,
2021-01-14,19188,16737,2436,,196610,188672,181020,15304,7652,
2021-01-15,20067,18009,2038,,216677,206670,196980,19380,9690,
2021-01-16,17118,15934,1171,,233795,222588,211727,21722,10861,
2021-01-17,11259,10015,1237,,245054,232588,220492,24192,12096,
2021-01-18,6794,6712,72,,251848,239277,227112,24330,12165,
2021-01-19,11828,9720,2094,,263676,248976,234717,28518,14259,
2021-01-20,10801,7212,3572,,274477,256165,238335,35660,17830,
2021-01-21,10973,6854,4091,,285450,263003,241082,43842,21921,
2021-01-22,9038,4320,4698,,294488,267286,240669,53234,26617,
2021-01-23,7456,3040,4388,,301944,270296,239292,62008,31004,
2021-01-24,4385,1828,2536,,306329,272106,238566,67080,33540,
2021-01-25,5321,1048,4264,,311650,273122,235319,75606,37803,
2021-01-26,9392,2867,6497,,321042,275957,231658,88598,44299,
2021-01-27,9896,2864,7004,,330938,278792,227490,102604,51302,
2021-01-28,13115,5738,7335,,344053,284497,225860,117274,58637,
2021-01-29,10694,3281,7379,,354747,287747,221732,132030,66015,
2021-01-30,9188,2728,6423,,363935,290433,217998,144870,72435,
2021-01-31,3380,1567,1768,,367315,291966,217764,148404,74202,
2021-02-01,2122,485,1609,,369437,292417,216610,151614,75807,
2021-02-02,4412,1359,2995,,373849,293738,214940,157596,78798,
2021-02-03,6236,1716,4458,,380085,295413,212164,166498,83249,
2021-02-04,9079,1709,7291,,389164,297079,206545,181068,90534,
2021-02-05,8442,1466,6903,,397606,298505,201074,194862,97431,
2021-02-06,10667,1871,8736,,408273,300321,194163,212316,106158,
2021-02-07,7574,1729,5796,,415847,302010,190068,223884,111942,
2021-02-08,8218,3095,5080,,424065,305057,188048,234018,117009,
2021-02-09,15007,3857,11082,,439072,308872,180797,256150,128075,
2021-02-10,15508,4929,10518,,454580,313749,175181,277136,138568,
2021-02-11,16367,3899,12410,,470947,317596,166649,301894,150947,
2021-02-12,17670,2098,15522,,488617,319655,153206,332898,166449,
2021-02-13,16209,2443,13751,,504826,322053,141872,360362,180181,
2021-02-14,12878,921,11925,,517704,322926,130850,384152,192076,
2021-02-15,7861,485,7328,,525565,323363,123985,398756,199378,
2021-02-16,5992,1040,4902,,531557,324360,120103,408514,204257,
2021-02-17,10166,1609,8523,,541723,325925,113173,425504,212752,
2021-02-18,13869,2955,10870,,555592,328832,105240,447184,223592,
2021-02-19,18488,6213,12208,,574080,334993,99224,471538,235769,
2021-02-20,22627,11131,11444,,596707,346061,98886,494350,247175,
2021-02-21,17236,10380,6822,,613943,356381,102426,507910,253955,
2021-02-22,13585,8759,4774,,627528,365071,106391,517360,258680,
2021-02-23,17864,11126,6667,,645392,376141,110830,530622,265311,
2021-02-24,18576,13611,4884,,663968,389696,119543,540306,270153,
2021-02-25,20808,16488,4263,,684776,406118,131750,548736,274368,
2021-02-26,24895,21833,3001,,709671,427891,150559,554664,277332,
2021-02-27,27461,23581,3838,,737132,451408,170286,562244,281122,
2021-02-28,20581,19140,1406,,757713,470494,188008,564972,282486,
2021-03-01,18222,17026,1148,,775935,487458,203871,567174,283587,
2021-03-02,24681,22272,2324,,800616,509669,223804,571730,285865,
2021-03-03,30596,27965,2577,,831212,537583,249174,576818,288409,
2021-03-04,34689,32459,2145,,865901,569976,279472,581008,290504,
2021-03-05,39997,38164,1784,,905898,608092,315838,584508,292254,
2021-03-06,44150,41944,2168,,950048,649981,355600,588762,294381,
2021-03-07,32733,31554,1175,,982781,681461,385963,590996,295498,
2021-03-08,24037,22162,1861,,1006818,703555,406250,594610,297305,
2021-03-09,33290,29840,3422,,1040108,733329,432648,601362,300681,
2021-03-10,38338,34076,4217,,1078446,767331,462481,609700,304850,
2021-03-11,43977,40704,3234,,1122423,807969,499937,616064,308032,
2021-03-12,47711,45999,1689,,1170134,853904,544233,619342,309671,
2021-03-13,57922,55047,2848,,1228056,908880,596415,624930,312465,
2021-03-14,43418,42179,1221,,1271474,950976,637358,627236,313618,
2021-03-15,32810,31112,1682,,1304284,982029,666772,630514,315257,
2021-03-16,53956,51657,2282,,1358240,1033621,716125,634992,317496,
2021-03-17,61059,58520,2496,,1419299,1092075,772133,639884,319942,
2021-03-18,61544,59087,2429,,1480843,1151090,828772,644636,322318,
2021-03-19,64468,61139,3273,,1545311,1212151,886613,651076,325538,
2021-03-20,62565,59975,2559,,1607876,1272070,944021,656098,328049,
2021-03-21,43994,42472,1536,,1651870,1314477,984929,659096,329548,
2021-03-22,30999,30034,976,,1682869,1344423,1013955,660936,330468,
2021-03-23,54618,51845,2722,,1737487,1396173,1063046,666254,333127,
2021-03-24,76428,73247,3133,,1813915,1469330,1133127,672406,336203,
2021-03-25,82906,80326,2533,,1896821,1549577,1210898,677358,338679,
2021-03-26,87009,83479,3490,,1983830,1632975,1290858,684234,342117,
2021-03-27,80849,77897,2867,,2064679,1710769,1365850,689838,344919,
2021-03-28,66986,65397,1554,,2131665,1776076,1429660,692832,346416,
2021-03-29,51733,49045,2651,,2183398,1825041,1476020,698042,349021,
2021-03-30,73579,70170,3349,,2256977,1895134,1542805,704658,352329,
2021-03-31,93148,89497,3585,,2350125,1984533,1628672,711722,355861,
2021-04-01,89312,85434,3839,,2439437,2069869,1710222,719294,359647,
2021-04-02,93082,88859,4207,,2532519,2158642,1794840,727604,363802,
2021-04-03,61006,59328,1735,,2593525,2217879,1852393,730972,365486,
2021-04-04,72327,70674,1650,,2665852,2288442,1921364,734156,367078,
2021-04-05,53730,53260,470,,2719582,2341618,1974118,735000,367500,
2021-04-06,79580,77713,1886,,2799162,2419229,2049897,738664,369332,
2021-04-07,108003,104938,3055,,2907165,2524042,2151713,744658,372329,
2021-04-08,114072,110104,4023,,3021237,2634035,2257739,752592,376296,
2021-04-09,109844,105620,4296,,3131081,2739537,2359010,761054,380527,
2021-04-10,109236,105476,3851,,3240317,2844885,2460573,768624,384312,
2021-04-11,98621,95506,3258,,3338938,2940266,2552755,775022,387511,
2021-04-12,76064,75001,1156,,3415002,3015119,2626520,777198,388599,
2021-04-13,99469,96088,3399,,3514471,3111098,2719148,783900,391950,
2021-04-14,117045,113281,3650,,3631516,3224261,2828701,791120,395560,
2021-04-15,113558,109502,3898,,3745074,3333637,2934236,798802,399401,
2021-04-16,118085,113711,4194,,3863159,3447238,3043687,807102,403551,
2021-04-17,112414,107824,4450,,3975573,3554928,3146986,815884,407942,
2021-04-18,88741,86504,2103,,4064314,3641309,3231318,819982,409991,
2021-04-19,68972,67440,1452,,4133286,3708619,3297227,822784,411392,
2021-04-20,102089,98767,3117,,4235375,3807224,3392780,828888,414444,
2021-04-21,142035,137761,4038,,4377410,3944811,3526397,836828,418414,
2021-04-22,139497,135347,3909,,4516907,4080029,3657762,844534,422267,
2021-04-23,138213,131796,6171,,4655120,4211671,3783291,856760,428380,
2021-04-24,130286,126226,3886,,4785406,4337749,3905539,864420,432210,
2021-04-25,102013,98603,3179,,4887419,4436204,4000882,870644,435322,
2021-04-26,70999,69295,1556,,4958418,4505368,4068550,873636,436818,
2021-04-27,98500,95419,2890,,5056918,4600626,4160981,879290,439645,
2021-04-28,120575,115952,4431,,5177493,4716410,4272406,888008,444004,
2021-04-29,124482,119288,5046,,5301975,4835531,4386550,897962,448981,
2021-04-30,115814,110562,5011,,5417789,4945920,4492005,907830,453915,
2021-05-01,111290,107428,3646,,5529079,5053167,4595683,914968,457484,
2021-05-02,79137,76163,2861,,5608216,5129173,4668894,920558,460279,
2021-05-03,56791,55122,1596,,5665007,5184140,4722325,923630,461815,
2021-05-04,91924,88555,3281,,5756931,5272517,4807498,930038,465019,
