"Date","Agegroup","At least one dose_cumulative","Second_dose_cumulative","fully_vaccinated_cumulative","third_dose_cumulative","Total population","Percent_at_least_one_dose","Percent_fully_vaccinated","Percent_3doses"
2020-12-16,"12-17yrs",0,0,0,0,961857,.0000,.0000,.0000
2020-12-16,"18-29yrs",31,0,0,0,2454802,.0000,.0000,.0000
2020-12-16,"30-39yrs",86,0,0,0,2077137,.0000,.0000,.0000
2020-12-16,"40-49yrs",98,0,0,0,1855340,.0001,.0000,.0000
2020-12-16,"50-59yrs",144,0,0,0,2019276,.0001,.0000,.0000
2020-12-16,"60-69yrs",84,0,0,0,1813493,.0000,.0000,.0000
2020-12-16,"70-79yrs",17,0,0,0,1181151,.0000,.0000,.0000
2020-12-16,"80+",6,0,0,0,674976,.0000,.0000,.0000
2020-12-16,"Adults_18plus",466,0,0,0,12076175,.0000,.0000,.0000
2020-12-16,"Ontario_12plus",466,0,0,0,13038032,.0000,.0000,.0000
2020-12-16,"Undisclosed_or_missing",0,0,0,0,0,.0000,.0000,.0000
2020-12-17,"12-17yrs",0,0,0,0,961857,.0000,.0000,.0000
2020-12-17,"18-29yrs",101,0,0,0,2454802,.0000,.0000,.0000
2020-12-17,"30-39yrs",233,0,0,0,2077137,.0001,.0000,.0000
2020-12-17,"40-49yrs",279,0,0,0,1855340,.0002,.0000,.0000
2020-12-17,"50-59yrs",335,0,0,0,2019276,.0002,.0000,.0000
2020-12-17,"60-69yrs",204,0,0,0,1813493,.0001,.0000,.0000
2020-12-17,"70-79yrs",38,0,0,0,1181151,.0000,.0000,.0000
2020-12-17,"80+",6,0,0,0,674976,.0000,.0000,.0000
2020-12-17,"Adults_18plus",1196,0,0,0,12076175,.0001,.0000,.0000
2020-12-17,"Ontario_12plus",1196,0,0,0,13038032,.0001,.0000,.0000
2020-12-17,"Undisclosed_or_missing",1,0,0,0,0,.0000,.0000,.0000
2020-12-18,"12-17yrs",0,0,0,0,961857,.0000,.0000,.0000
2020-12-18,"18-29yrs",208,0,0,0,2454802,.0001,.0000,.0000
2020-12-18,"30-39yrs",437,0,0,0,2077137,.0002,.0000,.0000
2020-12-18,"40-49yrs",519,0,0,0,1855340,.0003,.0000,.0000
2020-12-18,"50-59yrs",616,0,0,0,2019276,.0003,.0000,.0000
2020-12-18,"60-69yrs",395,0,0,0,1813493,.0002,.0000,.0000
2020-12-18,"70-79yrs",62,0,0,0,1181151,.0001,.0000,.0000
2020-12-18,"80+",9,0,0,0,674976,.0000,.0000,.0000
2020-12-18,"Adults_18plus",2246,0,0,0,12076175,.0002,.0000,.0000
2020-12-18,"Ontario_12plus",2246,0,0,0,13038032,.0002,.0000,.0000
2020-12-18,"Undisclosed_or_missing",1,0,0,0,0,.0000,.0000,.0000
2020-12-19,"12-17yrs",2,0,0,0,961857,.0000,.0000,.0000
2020-12-19,"18-29yrs",296,0,0,0,2454802,.0001,.0000,.0000
2020-12-19,"30-39yrs",641,0,0,0,2077137,.0003,.0000,.0000
