"Date","PHU ID","PHU name","Agegroup","At least one dose_cumulative","Second_dose_cumulative","fully_vaccinated_cumulative","third_dose_cumulative","Total population","Percent_at_least_one_dose","Percent_fully_vaccinated","Percent_3doses"
2021-07-26,2226,"ALGOMA DISTRICT","12-17yrs",3843,1890,,,6504,.5909,.2906,
2021-07-26,2227,"BRANT COUNTY","12-17yrs",6306,3567,,,10734,.5875,.3323,
2021-07-26,2230,"DURHAM REGION","12-17yrs",34025,16953,,,51038,.6667,.3322,
2021-07-26,2233,"GREY BRUCE","12-17yrs",5533,3627,,,10179,.5436,.3563,
2021-07-26,2234,"HALDIMAND-NORFOLK","12-17yrs",3125,1711,,,7138,.4378,.2397,
2021-07-26,2235,"HALIBURTON, KAWARTHA, PINE RIDGE","12-17yrs",5821,3155,,,10093,.5767,.3126,
2021-07-26,2236,"HALTON REGION","12-17yrs",36557,26873,,,49248,.7423,.5457,
2021-07-26,2237,"CITY OF HAMILTON","12-17yrs",21710,14055,,,37018,.5865,.3797,
2021-07-26,2238,"HASTINGS & PRINCE EDWARD COUNTIES","12-17yrs",5703,3668,,,9953,.5730,.3685,
2021-07-26,2240,"CHATHAM-KENT","12-17yrs",3229,1923,,,7233,.4464,.2659,
2021-07-26,2241,"KINGSTON, FRONTENAC, LENNOX & ADDINGTON","12-17yrs",8637,5141,,,11803,.7318,.4356,
2021-07-26,2242,"LAMBTON COUNTY","12-17yrs",4455,2460,,,8280,.5380,.2971,
2021-07-26,2243,"LEEDS, GRENVILLE AND LANARK DISTRICT","12-17yrs",6941,3806,,,10477,.6625,.3633,
2021-07-26,2244,"MIDDLESEX-LONDON","12-17yrs",22283,11106,,,31735,.7022,.3500,
2021-07-26,2246,"NIAGARA REGION","12-17yrs",16673,10501,,,28353,.5881,.3704,
2021-07-26,2247,"NORTH BAY PARRY SOUND DISTRICT","12-17yrs",4147,2637,,,7244,.5725,.3640,
2021-07-26,2249,"NORTHWESTERN","12-17yrs",4132,2197,,,6670,.6195,.3294,
2021-07-26,2251,"CITY OF OTTAWA","12-17yrs",50734,31410,,,66222,.7661,.4743,
2021-07-26,2253,"PEEL REGION","12-17yrs",73919,49808,,,118974,.6213,.4186,
2021-07-26,2255,"PETERBOROUGH COUNTY-CITY","12-17yrs",4925,2879,,,8041,.6125,.3580,
2021-07-26,2256,"PORCUPINE","12-17yrs",3156,2066,,,5754,.5485,.3591,
2021-07-26,2257,"RENFREW COUNTY AND DISTRICT","12-17yrs",3757,2553,,,6329,.5936,.4034,
2021-07-26,2258,"EASTERN ONTARIO","12-17yrs",7808,3557,,,13423,.5817,.2650,
2021-07-26,2260,"SIMCOE MUSKOKA DISTRICT","12-17yrs",22717,12559,,,37614,.6040,.3339,
2021-07-26,2261,"SUDBURY AND DISTRICT","12-17yrs",7131,4211,,,11889,.5998,.3542,
2021-07-26,2262,"THUNDER BAY DISTRICT","12-17yrs",5822,3560,,,9043,.6438,.3937,
2021-07-26,2263,"TIMISKAMING","12-17yrs",1039,597,,,1897,.5477,.3147,
2021-07-26,2265,"WATERLOO REGION","12-17yrs",27066,16173,,,40049,.6758,.4038,
2021-07-26,2266,"WELLINGTON-DUFFERIN-GUELPH","12-17yrs",13786,8284,,,21168,.6513,.3913,
2021-07-26,2268,"WINDSOR-ESSEX COUNTY","12-17yrs",16685,11116,,,29770,.5605,.3734,
2021-07-26,2270,"YORK REGION","12-17yrs",61429,41987,,,89973,.6827,.4667,
2021-07-26,3895,"TORONTO","12-17yrs",107989,78989,,,162546,.6644,.4859,
2021-07-26,4913,"SOUTHWESTERN","12-17yrs",8290,3198,,,15337,.5405,.2085,
2021-07-26,5183,"HURON PERTH","12-17yrs",5265,1704,,,9790,.5378,.1741,
2021-07-26,9999,"UNKNOWN","12-17yrs",207,20,,,0,,,
2021-07-26,2226,"ALGOMA DISTRICT","18-29yrs",9811,6763,,,15509,.6326,.4361,
2021-07-26,2227,"BRANT COUNTY","18-29yrs",15753,11325,,,24059,.6548,.4707,
2021-07-26,2230,"DURHAM REGION","18-29yrs",79765,59785,,,114063,.6993,.5241,
2021-07-26,2233,"GREY BRUCE","18-29yrs",13018,9833,,,22126,.5884,.4444,
2021-07-26,2234,"HALDIMAND-NORFOLK","18-29yrs",8171,5819,,,15900,.5139,.3660,
2021-07-26,2235,"HALIBURTON, KAWARTHA, PINE RIDGE","18-29yrs",14374,9824,,,22520,.6383,.4362,
2021-07-26,2236,"HALTON REGION","18-29yrs",66917,46763,,,95648,.6996,.4889,
2021-07-26,2237,"CITY OF HAMILTON","18-29yrs",64059,47055,,,100237,.6391,.4694,
2021-07-26,2238,"HASTINGS & PRINCE EDWARD COUNTIES","18-29yrs",12858,8086,,,22375,.5747,.3614,
2021-07-26,2240,"CHATHAM-KENT","18-29yrs",8137,5775,,,14984,.5430,.3854,
2021-07-26,2241,"KINGSTON, FRONTENAC, LENNOX & ADDINGTON","18-29yrs",23996,17802,,,34068,.7044,.5225,
2021-07-26,2242,"LAMBTON COUNTY","18-29yrs",10937,7432,,,18558,.5893,.4005,
2021-07-26,2243,"LEEDS, GRENVILLE AND LANARK DISTRICT","18-29yrs",14760,10298,,,21695,.6803,.4747,
2021-07-26,2244,"MIDDLESEX-LONDON","18-29yrs",65937,43742,,,88180,.7478,.4961,
2021-07-26,2246,"NIAGARA REGION","18-29yrs",47032,33010,,,70592,.6663,.4676,
2021-07-26,2247,"NORTH BAY PARRY SOUND DISTRICT","18-29yrs",10114,7247,,,17552,.5762,.4129,
2021-07-26,2249,"NORTHWESTERN","18-29yrs",9745,7509,,,13990,.6966,.5367,
2021-07-26,2251,"CITY OF OTTAWA","18-29yrs",133702,98487,,,186587,.7166,.5278,
2021-07-26,2253,"PEEL REGION","18-29yrs",238377,163270,,,278974,.8545,.5853,
2021-07-26,2255,"PETERBOROUGH COUNTY-CITY","18-29yrs",14434,10290,,,21688,.6655,.4745,
2021-07-26,2256,"PORCUPINE","18-29yrs",7940,5664,,,12232,.6491,.4630,
2021-07-26,2257,"RENFREW COUNTY AND DISTRICT","18-29yrs",8364,6273,,,14861,.5628,.4221,
2021-07-26,2258,"EASTERN ONTARIO","18-29yrs",16567,10591,,,27830,.5953,.3806,
2021-07-26,2260,"SIMCOE MUSKOKA DISTRICT","18-29yrs",56856,36692,,,87904,.6468,.4174,
2021-07-26,2261,"SUDBURY AND DISTRICT","18-29yrs",18641,13091,,,29436,.6333,.4447,
2021-07-26,2262,"THUNDER BAY DISTRICT","18-29yrs",17660,12869,,,22251,.7937,.5784,
2021-07-26,2263,"TIMISKAMING","18-29yrs",2549,1727,,,4360,.5847,.3961,
2021-07-26,2265,"WATERLOO REGION","18-29yrs",81927,56766,,,99244,.8255,.5720,
2021-07-26,2266,"WELLINGTON-DUFFERIN-GUELPH","18-29yrs",34659,25095,,,50230,.6900,.4996,
2021-07-26,2268,"WINDSOR-ESSEX COUNTY","18-29yrs",47333,35565,,,72405,.6537,.4912,
2021-07-26,2270,"YORK REGION","18-29yrs",137791,111729,,,198762,.6932,.5621,
2021-07-26,3895,"TORONTO","18-29yrs",406143,321659,,,585930,.6932,.5490,
2021-07-26,4913,"SOUTHWESTERN","18-29yrs",18331,11070,,,30393,.6031,.3642,
2021-07-26,5183,"HURON PERTH","18-29yrs",12382,7975,,,20393,.6072,.3911,
2021-07-26,9999,"UNKNOWN","18-29yrs",1313,135,,,0,,,
2021-07-26,2226,"ALGOMA DISTRICT","30-39yrs",8812,6625,,,12062,.7306,.5493,
2021-07-26,2227,"BRANT COUNTY","30-39yrs",14575,11253,,,19698,.7399,.5713,
2021-07-26,2230,"DURHAM REGION","30-39yrs",74710,58850,,,93632,.7979,.6285,
2021-07-26,2233,"GREY BRUCE","30-39yrs",13378,10835,,,17931,.7461,.6043,
2021-07-26,2234,"HALDIMAND-NORFOLK","30-39yrs",8166,6179,,,11852,.6890,.5214,
2021-07-26,2235,"HALIBURTON, KAWARTHA, PINE RIDGE","30-39yrs",13577,9951,,,17429,.7790,.5709,
2021-07-26,2236,"HALTON REGION","30-39yrs",60705,44471,,,80648,.7527,.5514,
2021-07-26,2237,"CITY OF HAMILTON","30-39yrs",58261,46118,,,84056,.6931,.5487,
2021-07-26,2238,"HASTINGS & PRINCE EDWARD COUNTIES","30-39yrs",11476,8017,,,17863,.6424,.4488,
2021-07-26,2240,"CHATHAM-KENT","30-39yrs",7269,5511,,,11594,.6270,.4753,
2021-07-26,2241,"KINGSTON, FRONTENAC, LENNOX & ADDINGTON","30-39yrs",20167,15873,,,29909,.6743,.5307,
2021-07-26,2242,"LAMBTON COUNTY","30-39yrs",10044,7586,,,14493,.6930,.5234,
2021-07-26,2243,"LEEDS, GRENVILLE AND LANARK DISTRICT","30-39yrs",14662,11096,,,16449,.8914,.6746,
2021-07-26,2244,"MIDDLESEX-LONDON","30-39yrs",53453,38649,,,73436,.7279,.5263,
2021-07-26,2246,"NIAGARA REGION","30-39yrs",39684,30076,,,54175,.7325,.5552,
2021-07-26,2247,"NORTH BAY PARRY SOUND DISTRICT","30-39yrs",9486,7269,,,14543,.6523,.4998,
2021-07-26,2249,"NORTHWESTERN","30-39yrs",8183,6707,,,9958,.8218,.6735,
2021-07-26,2251,"CITY OF OTTAWA","30-39yrs",116974,91932,,,158259,.7391,.5809,
2021-07-26,2253,"PEEL REGION","30-39yrs",172195,131878,,,235513,.7311,.5600,
2021-07-26,2255,"PETERBOROUGH COUNTY-CITY","30-39yrs",12660,9798,,,18338,.6904,.5343,
2021-07-26,2256,"PORCUPINE","30-39yrs",6558,5099,,,9754,.6723,.5227,
2021-07-26,2257,"RENFREW COUNTY AND DISTRICT","30-39yrs",7913,6326,,,13489,.5866,.4690,
2021-07-26,2258,"EASTERN ONTARIO","30-39yrs",16679,11750,,,21920,.7609,.5360,
2021-07-26,2260,"SIMCOE MUSKOKA DISTRICT","30-39yrs",52981,37173,,,74380,.7123,.4998,
2021-07-26,2261,"SUDBURY AND DISTRICT","30-39yrs",15709,11939,,,24368,.6447,.4899,
2021-07-26,2262,"THUNDER BAY DISTRICT","30-39yrs",14559,11488,,,18511,.7865,.6206,
2021-07-26,2263,"TIMISKAMING","30-39yrs",2366,1795,,,3297,.7177,.5445,
2021-07-26,2265,"WATERLOO REGION","30-39yrs",65813,49882,,,84990,.7744,.5869,
2021-07-26,2266,"WELLINGTON-DUFFERIN-GUELPH","30-39yrs",31582,24329,,,42188,.7486,.5767,
2021-07-26,2268,"WINDSOR-ESSEX COUNTY","30-39yrs",35542,28173,,,48477,.7332,.5812,
